Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,groupon.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.groupon.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.groupon.starbucks.com.txt
http,80,refer.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.refer.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.refer.starbucks.com.txt
http,80,verde.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.verde.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.verde.starbucks.com.txt
http,80,ordering.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ordering.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ordering.starbucks.com.txt
http,80,blog.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.blog.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.blog.starbucks.com.txt
http,80,www.test.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.www.test.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.test.starbucks.com.txt
http,80,devweb.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.devweb.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.devweb.starbucks.com.txt
http,80,wwwstage.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.wwwstage.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.wwwstage.starbucks.com.txt
http,80,logindev.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.logindev.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.logindev.starbucks.com.txt
http,80,events.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.events.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.events.starbucks.com.txt
http,80,jobs.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.careers.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.jobs.starbucks.com.txt
http,80,piglet.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.piglet.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.piglet.starbucks.com.txt
http,80,alumni.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.alumni.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.alumni.starbucks.com.txt
http,80,cascade.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.cascade.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.cascade.starbucks.com.txt
http,80,ucp.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.ucp.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ucp.starbucks.com.txt
http,80,docstest.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.docstest.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.docstest.starbucks.com.txt
http,80,remote.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.remote.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.remote.starbucks.com.txt
http,80,cms.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.l.a.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.cms.starbucks.com.txt
http,80,avm.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.avm.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.avm.starbucks.com.txt
http,80,dev.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.dev.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.dev.starbucks.com.txt
