URL,80
eapi-scmariba-st.gtm.starbucks.com,X,
bomgar-chd.starbucks.com,X,
docstest.starbucks.com,X,
sso-group0-chd.starbucks.com,X,
shipper-cert.gtm.starbucks.com,X,
sts-vis-cert-cloud2.starbucks.com,X,
sts-vis3-chd.starbucks.com,X,
sso-group-iad.starbucks.com,X,
previewares.starbucks.com,X,
previewdede.starbucks.com,X,
awapi.starbucks.com,X,
alumni.starbucks.com,X,
bomgar-iad.starbucks.com,X,
testsdlwww.starbucks.com,X,
previewcaen.starbucks.com,X,
outlook-iad.starbucks.com,X,
previewplen.starbucks.com,X,
demostore.starbucks.com,X,
deepbrew.starbucks.com,X,
previewgren.starbucks.com,X,
coffeeexperiences.starbucks.com,X,
edap-preprod.starbucks.com,X,
autodiscover-iad2.starbucks.com,X,
smreporting-v9-a.starbucks.com,X,
cpath-chd.starbucks.com,X,
sts-vis1-chd.starbucks.com,X,
datapulse-app.starbucks.com,X,
sus-chd.starbucks.com,X,
sts-vis-cert-cloud1-iad.starbucks.com,X,
previewnlnl.starbucks.com,X,
sts-vis0-chd.starbucks.com,X,
previewbnen.starbucks.com,X,
previewchde.starbucks.com,X,
previewcafr.starbucks.com,X,
coffeeexpo2021.starbucks.com,X,
ariba-asp.starbucks.com,X,
fr-fr.test.starbucks.com,X,
testapi-chd.starbucks.com,X,
t02-ssa.productioncontroller.starbucks.com,X,
appcafe-chd.starbucks.com,X,
previewuzen.starbucks.com,X,
pd.ucp.starbucks.com,X,
eapi-scmariba-sd.gtm.starbucks.com,X,
appcafe-cert-chd.starbucks.com,X,
ipm-chd.starbucks.com,X,
webmail-chd.starbucks.com,X,
previewbgbg.starbucks.com,X,
soa-test.gtm.starbucks.com,X,
hybrid-iad2.starbucks.com,X,
www.mexico.starbucks.com,X,
previewhkzh.starbucks.com,X,
testsecurepaymentprocessor.starbucks.com,X,
eapi-scmariba.starbucks.com,X,
testsecurepaymenthub.starbucks.com,X,
previewchen.starbucks.com,X,
d02.productioncontroller.starbucks.com,X,
previewinen.starbucks.com,X,
loadsecurepaymentprocessor.starbucks.com,X,
pdx-cert.starbucks.com,X,
